% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.166	1	15	17	7	12	20	161	1
0.166	1	5	17	7	20	20	161	1
0.167	1	4	17	8	78	20	161	0
0.167	1	12	17	8	82	20	161	0
0.167	1	7	17	8	29	20	161	1
0.167	1	9	17	8	39	20	161	1
0.168	1	1	17	9	87	20	161	0
0.168	1	6	17	9	91	20	161	0
0.168	1	2	17	9	50	20	161	1
0.168	1	11	17	9	58	20	161	1
0.169	1	13	17	10	94	20	161	0
0.169	1	3	17	10	96	20	161	0
0.169	1	10	17	10	63	20	161	1
0.169	1	8	17	10	71	20	161	1
0.17	1	14	18	1	1	20	161	0
0.17	1	15	18	1	12	20	161	0
0.17	1	4	18	1	78	20	161	1
0.17	1	12	18	1	82	20	161	1
0.171	1	5	18	2	20	20	161	0
0.171	1	7	18	2	29	20	161	0
0.171	1	1	18	2	87	20	161	1
0.171	1	6	18	2	91	20	161	1
0.172	1	9	18	3	39	20	161	0
0.172	1	2	18	3	50	20	161	0
0.172	1	13	18	3	94	20	161	1
0.172	1	3	18	3	96	20	161	1
0.173	1	11	18	4	58	20	161	0
0.173	1	10	18	4	63	20	161	0
0.173	1	14	18	4	1	20	161	1
0.173	1	15	18	4	12	20	161	1
0.174	1	8	18	5	71	20	161	0
0.174	1	4	18	5	78	20	161	0
0.174	1	5	18	5	20	20	161	1
0.174	1	7	18	5	29	20	161	1
0.175	1	12	18	6	82	20	161	0
0.175	1	1	18	6	87	20	161	0
0.175	1	9	18	6	39	20	161	1
0.175	1	2	18	6	50	20	161	1
0.176	1	6	18	7	91	20	161	0
0.176	1	13	18	7	94	20	161	0
0.176	1	11	18	7	58	20	161	1
0.176	1	10	18	7	63	20	161	1
0.177	1	3	18	8	96	20	161	0
0.177	1	14	18	8	1	20	161	0
0.177	1	8	18	8	71	20	161	1
0.177	1	4	18	8	78	20	161	1
0.178	1	15	18	9	12	20	161	0
0.178	1	5	18	9	20	20	161	0
0.178	1	12	18	9	82	20	161	1
0.178	1	1	18	9	87	20	161	1
0.179	1	7	18	10	29	20	161	0
0.179	1	9	18	10	39	20	161	0
0.179	1	6	18	10	91	20	161	1
0.179	1	13	18	10	94	20	161	1
0.18	1	2	19	1	50	20	161	0
0.18	1	11	19	1	58	20	161	0
0.18	1	3	19	1	96	20	161	1
0.18	1	14	19	1	1	20	161	1
0.181	1	10	19	2	63	20	161	0
0.181	1	8	19	2	71	20	161	0
0.181	1	15	19	2	12	20	161	1
0.181	1	5	19	2	20	20	161	1
0.182	1	4	19	3	78	20	161	0
0.182	1	12	19	3	82	20	161	0
0.182	1	7	19	3	29	20	161	1
0.182	1	9	19	3	39	20	161	1
0.183	1	1	19	4	87	20	161	0
0.183	1	6	19	4	91	20	161	0
0.183	1	2	19	4	50	20	161	1
0.183	1	11	19	4	58	20	161	1
0.184	1	13	19	5	94	20	161	0
0.184	1	3	19	5	96	20	161	0
0.184	1	10	19	5	63	20	161	1
0.184	1	8	19	5	71	20	161	1
0.185	1	14	19	6	1	20	161	0
0.185	1	15	19	6	12	20	161	0
0.185	1	4	19	6	78	20	161	1
0.185	1	12	19	6	82	20	161	1
0.186	1	5	19	7	20	20	161	0
0.186	1	7	19	7	29	20	161	0
0.186	1	1	19	7	87	20	161	1
0.186	1	6	19	7	91	20	161	1
0.187	1	9	19	8	39	20	161	0
0.187	1	2	19	8	50	20	161	0
0.187	1	13	19	8	94	20	161	1
0.187	1	3	19	8	96	20	161	1
0.188	1	11	19	9	58	20	161	0
0.188	1	10	19	9	63	20	161	0
0.188	1	14	19	9	1	20	161	1
0.188	1	15	19	9	12	20	161	1
0.189	1	8	19	10	71	20	161	0
0.189	1	4	19	10	78	20	161	0
0.189	1	5	19	10	20	20	161	1
0.189	1	7	19	10	29	20	161	1
0.19	1	12	20	1	82	20	161	0
0.19	1	1	20	1	87	20	161	0
