% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
162	2	6	91	0	20	161	0	1	1
163	1	2	50	0	20	161	0	1	0
163	1	9	39	0	20	161	0	1	0
163	2	3	96	0	20	161	0	1	1
163	2	13	94	0	20	161	0	1	1
164	1	10	63	0	20	161	0	1	0
164	1	11	58	0	20	161	0	1	0
164	2	14	1	0	20	161	0	1	1
164	2	15	12	0	20	161	0	1	1
165	1	8	71	0	20	161	0	1	0
165	1	4	78	0	20	161	0	1	0
165	2	7	29	0	20	161	0	1	1
165	2	5	20	0	20	161	0	1	1
166	1	1	87	0	20	161	0	1	0
166	1	12	82	0	20	161	0	1	0
166	2	9	39	0	20	161	0	1	1
166	2	2	50	0	20	161	0	1	1
167	1	6	91	0	20	161	0	1	0
167	1	13	94	0	20	161	0	1	0
167	2	11	58	0	20	161	0	1	1
167	2	10	63	0	20	161	0	1	1
168	1	3	96	0	20	161	0	1	0
168	1	14	1	0	20	161	0	1	0
168	2	4	78	0	20	161	0	1	1
168	2	8	71	0	20	161	0	1	1
169	1	5	20	0	20	161	0	1	0
169	1	15	12	0	20	161	0	1	0
169	2	1	87	0	20	161	0	1	1
169	2	12	82	0	20	161	0	1	1
170	1	7	29	0	20	161	0	1	0
170	1	9	39	0	20	161	0	1	0
170	2	13	94	0	20	161	0	1	1
170	2	6	91	0	20	161	0	1	1
171	1	2	50	0	20	161	0	1	0
171	1	11	58	0	20	161	0	1	0
171	2	14	1	0	20	161	0	1	1
171	2	3	96	0	20	161	0	1	1
172	1	10	63	0	20	161	0	1	0
172	1	8	71	0	20	161	0	1	0
172	2	15	12	0	20	161	0	1	1
172	2	5	20	0	20	161	0	1	1
173	1	12	82	0	20	161	0	1	0
173	1	4	78	0	20	161	0	1	0
173	2	7	29	0	20	161	0	1	1
173	2	9	39	0	20	161	0	1	1
174	1	6	91	0	20	161	0	1	0
174	1	1	87	0	20	161	0	1	0
174	2	11	58	0	20	161	0	1	1
174	2	2	50	0	20	161	0	1	1
175	1	3	96	0	20	161	0	1	0
175	1	13	94	0	20	161	0	1	0
175	2	10	63	0	20	161	0	1	1
175	2	8	71	0	20	161	0	1	1
176	1	15	12	0	20	161	0	1	0
176	1	14	1	0	20	161	0	1	0
176	2	12	82	0	20	161	0	1	1
176	2	4	78	0	20	161	0	1	1
177	1	7	29	0	20	161	0	1	0
177	1	5	20	0	20	161	0	1	0
177	2	1	87	0	20	161	0	1	1
177	2	6	91	0	20	161	0	1	1
178	1	2	50	0	20	161	0	1	0
178	1	9	39	0	20	161	0	1	0
178	2	3	96	0	20	161	0	1	1
178	2	13	94	0	20	161	0	1	1
179	1	10	63	0	20	161	0	1	0
179	1	11	58	0	20	161	0	1	0
179	2	14	1	0	20	161	0	1	1
179	2	15	12	0	20	161	0	1	1
180	1	8	71	0	20	161	0	1	0
180	1	4	78	0	20	161	0	1	0
180	2	7	29	0	20	161	0	1	1
180	2	5	20	0	20	161	0	1	1
181	1	1	87	0	20	161	0	1	0
181	1	12	82	0	20	161	0	1	0
181	2	9	39	0	20	161	0	1	1
181	2	2	50	0	20	161	0	1	1
182	1	6	91	0	20	161	0	1	0
182	1	13	94	0	20	161	0	1	0
182	2	11	58	0	20	161	0	1	1
182	2	10	63	0	20	161	0	1	1
183	1	3	96	0	20	161	0	1	0
183	1	14	1	0	20	161	0	1	0
183	2	4	78	0	20	161	0	1	1
183	2	8	71	0	20	161	0	1	1
184	1	5	20	0	20	161	0	1	0
184	1	15	12	0	20	161	0	1	0
184	2	1	87	0	20	161	0	1	1
184	2	12	82	0	20	161	0	1	1
185	1	7	29	0	20	161	0	1	0
185	1	9	39	0	20	161	0	1	0
185	2	13	94	0	20	161	0	1	1
185	2	6	91	0	20	161	0	1	1
186	1	2	50	0	20	161	0	1	0
186	1	11	58	0	20	161	0	1	0
186	2	14	1	0	20	161	0	1	1
186	2	3	96	0	20	161	0	1	1
187	1	10	63	0	20	161	0	1	0
187	1	8	71	0	20	161	0	1	0
187	2	15	12	0	20	161	0	1	1
187	2	5	20	0	20	161	0	1	1
188	1	12	82	0	20	161	0	1	0
188	1	4	78	0	20	161	0	1	0
188	2	7	29	0	20	161	0	1	1
188	2	9	39	0	20	161	0	1	1
189	1	6	91	0	20	161	0	1	0
189	1	1	87	0	20	161	0	1	0
189	2	11	58	0	20	161	0	1	1
189	2	2	50	0	20	161	0	1	1
190	1	3	96	0	20	161	0	1	0
190	1	13	94	0	20	161	0	1	0
190	2	10	63	0	20	161	0	1	1
190	2	8	71	0	20	161	0	1	1
191	1	15	12	0	20	161	0	1	0
191	1	14	1	0	20	161	0	1	0
191	2	12	82	0	20	161	0	1	1
191	2	4	78	0	20	161	0	1	1
192	1	7	29	0	20	161	0	1	0
192	1	5	20	0	20	161	0	1	0
192	2	1	87	0	20	161	0	1	1
192	2	6	91	0	20	161	0	1	1
193	1	2	50	0	20	161	0	1	0
193	1	9	39	0	20	161	0	1	0
193	2	3	96	0	20	161	0	1	1
193	2	13	94	0	20	161	0	1	1
194	1	10	63	0	20	161	0	1	0
194	1	11	58	0	20	161	0	1	0
194	2	14	1	0	20	161	0	1	1
194	2	15	12	0	20	161	0	1	1
195	1	8	71	0	20	161	0	1	0
195	1	4	78	0	20	161	0	1	0
195	2	7	29	0	20	161	0	1	1
195	2	5	20	0	20	161	0	1	1
196	1	1	87	0	20	161	0	1	0
196	1	12	82	0	20	161	0	1	0
196	2	9	39	0	20	161	0	1	1
196	2	2	50	0	20	161	0	1	1
197	1	6	91	0	20	161	0	1	0
197	1	13	94	0	20	161	0	1	0
197	2	11	58	0	20	161	0	1	1
197	2	10	63	0	20	161	0	1	1
198	1	3	96	0	20	161	0	1	0
198	1	14	1	0	20	161	0	1	0
198	2	4	78	0	20	161	0	1	1
198	2	8	71	0	20	161	0	1	1
199	1	5	20	0	20	161	0	1	0
199	1	15	12	0	20	161	0	1	0
199	2	1	87	0	20	161	0	1	1
199	2	12	82	0	20	161	0	1	1
200	1	7	29	0	20	161	0	1	0
200	1	9	39	0	20	161	0	1	0
200	2	13	94	0	20	161	0	1	1
200	2	6	91	0	20	161	0	1	1
201	1	2	50	0	20	161	0	1	0
201	1	11	58	0	20	161	0	1	0
201	2	14	1	0	20	161	0	1	1
201	2	3	96	0	20	161	0	1	1
202	1	10	63	0	20	161	0	1	0
202	1	8	71	0	20	161	0	1	0
202	2	15	12	0	20	161	0	1	1
202	2	5	20	0	20	161	0	1	1
203	1	12	82	0	20	161	0	1	0
203	1	4	78	0	20	161	0	1	0
203	2	7	29	0	20	161	0	1	1
203	2	9	39	0	20	161	0	1	1
204	1	6	91	0	20	161	0	1	0
204	1	1	87	0	20	161	0	1	0
204	2	11	58	0	20	161	0	1	1
204	2	2	50	0	20	161	0	1	1
205	1	3	96	0	20	161	0	1	0
205	1	13	94	0	20	161	0	1	0
205	2	10	63	0	20	161	0	1	1
205	2	8	71	0	20	161	0	1	1
206	1	15	12	0	20	161	0	1	0
206	1	14	1	0	20	161	0	1	0
206	2	12	82	0	20	161	0	1	1
206	2	4	78	0	20	161	0	1	1
207	1	7	29	0	20	161	0	1	0
207	1	5	20	0	20	161	0	1	0
207	2	1	87	0	20	161	0	1	1
207	2	6	91	0	20	161	0	1	1
208	1	2	50	0	20	161	0	1	0
208	1	9	39	0	20	161	0	1	0
208	2	3	96	0	20	161	0	1	1
208	2	13	94	0	20	161	0	1	1
209	1	10	63	0	20	161	0	1	0
209	1	11	58	0	20	161	0	1	0
209	2	14	1	0	20	161	0	1	1
209	2	15	12	0	20	161	0	1	1
210	1	8	71	0	20	161	0	1	0
210	1	4	78	0	20	161	0	1	0
210	2	7	29	0	20	161	0	1	1
210	2	5	20	0	20	161	0	1	1
211	1	1	87	0	20	161	0	1	0
211	1	12	82	0	20	161	0	1	0
211	2	9	39	0	20	161	0	1	1
211	2	2	50	0	20	161	0	1	1
212	1	6	91	0	20	161	0	1	0
212	1	13	94	0	20	161	0	1	0
212	2	11	58	0	20	161	0	1	1
212	2	10	63	0	20	161	0	1	1
213	1	3	96	0	20	161	0	1	0
213	1	14	1	0	20	161	0	1	0
213	2	4	78	0	20	161	0	1	1
213	2	8	71	0	20	161	0	1	1
214	1	5	20	0	20	161	0	1	0
214	1	15	12	0	20	161	0	1	0
214	2	1	87	0	20	161	0	1	1
214	2	12	82	0	20	161	0	1	1
215	1	7	29	0	20	161	0	1	0
215	1	9	39	0	20	161	0	1	0
215	2	13	94	0	20	161	0	1	1
215	2	6	91	0	20	161	0	1	1
216	1	2	50	0	20	161	0	1	0
216	1	11	58	0	20	161	0	1	0
216	2	14	1	0	20	161	0	1	1
216	2	3	96	0	20	161	0	1	1
217	1	10	63	0	20	161	0	1	0
217	1	8	71	0	20	161	0	1	0
217	2	15	12	0	20	161	0	1	1
217	2	5	20	0	20	161	0	1	1
218	1	12	82	0	20	161	0	1	0
218	1	4	78	0	20	161	0	1	0
218	2	7	29	0	20	161	0	1	1
218	2	9	39	0	20	161	0	1	1
